table	category	tenant_id	workspace_id	rls_enabled	rls_forced	policy
tenant_management.operational_settings	INHERITED_SCOPE_JUSTIFIED	f	t	f	f	NONE
tenant_management.organization_invitation	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
tenant_management.organization_invitation_idempotency	FORCED_RLS_DIRECT_SCOPE	t	f	t	t	USING+WITH CHECK (tenant)
tenant_management.organization_invitation_role	INHERITED_SCOPE_JUSTIFIED	f	f	f	f	NONE
tenant_management.organization_registration	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
tenant_management.organization_registration_draft_idempotency	TECHNICAL_GLOBAL	f	f	f	f	NONE
tenant_management.organization_settings	FORCED_RLS_DIRECT_SCOPE	t	f	t	t	USING+WITH CHECK (tenant)
tenant_management.permission_definition	GLOBAL_REFERENCE	f	f	f	f	NONE
tenant_management.reference_plan_assignment	FORCED_RLS_DIRECT_SCOPE	t	f	t	t	USING+WITH CHECK (tenant)
tenant_management.regional_settings	FORCED_RLS_DIRECT_SCOPE	t	f	t	t	USING+WITH CHECK (tenant)
tenant_management.role_definition	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
tenant_management.role_permission	INHERITED_SCOPE_JUSTIFIED	f	f	f	f	NONE
tenant_management.tenant	FORCED_RLS_DIRECT_SCOPE	f	f	t	t	USING+WITH CHECK (tenant id)+visible workspace/bootstrap
tenant_management.tenant_security_settings	FORCED_RLS_DIRECT_SCOPE	t	f	t	t	USING+WITH CHECK (tenant)
tenant_management.unit_preferences	FORCED_RLS_DIRECT_SCOPE	t	f	t	t	USING+WITH CHECK (tenant)
tenant_management.workspace	FORCED_RLS_DIRECT_SCOPE	t	f	t	t	USING+WITH CHECK (tenant)+login/member/authenticated-user/worker SELECT
tenant_management.workspace_creation_idempotency	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
tenant_management.workspace_membership	INHERITED_SCOPE_JUSTIFIED	f	t	f	f	NONE
tenant_management.workspace_settings	INHERITED_SCOPE_JUSTIFIED	f	t	f	f	NONE
warehouse.command_idempotency	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.inventory_backing	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.inventory_backing_line	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.inventory_backing_position	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.inventory_event	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.inventory_lot	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.inventory_lot_disposition	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.inventory_reservation	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.inventory_reservation_allocation	INHERITED_SCOPE_JUSTIFIED	f	f	f	f	NONE
warehouse.inventory_reservation_line	INHERITED_SCOPE_JUSTIFIED	f	f	f	f	NONE
warehouse.inventory_temperature_evaluation	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.inventory_transfer	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.physical_allocation	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.physical_allocation_command_idempotency	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.physical_allocation_event	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.physical_allocation_line	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.reservation_shortage	INHERITED_SCOPE_JUSTIFIED	f	f	f	f	NONE
warehouse.safety_stock_policy	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.selection_snapshot	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.stock_movement	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.storage_zone	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.warehouse	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
warehouse.warehouse_service_configuration	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
